state,cuisine_norm,count
ACT,baked_potato,1
ACT,bhutan,1
ACT,burgers,8
ACT,cafe,2
ACT,chicken,1
ACT,chinese,47
ACT,ethiopian,1
ACT,filipino,2
ACT,fine_dining,2
ACT,french,1
ACT,greek,2
ACT,indian,32
ACT,indonesian,4
ACT,international,5
ACT,italian,32
ACT,japanese,31
ACT,korean,7
ACT,lao,1
ACT,latin_american,1
ACT,lebanese,3
ACT,malaysian,5
ACT,mexican,1
ACT,nepalese,2
ACT,noodle,9
ACT,polish,1
ACT,regional,3
ACT,seafood,1
ACT,steak,1
ACT,thai,23
ACT,turkish,7
ACT,vietnamese,12
NSW,american,19
NSW,arab,1
NSW,argentinian,1
NSW,asian_fusion,1
NSW,australian,20
NSW,austrian,3
NSW,bakery,6
NSW,bar_and_grill,1
NSW,bbq,15
NSW,brasserie,1
NSW,brazilian,4
NSW,breakfast,9
NSW,burgers,55
NSW,burmese,1
NSW,cafe,14
NSW,cake,1
NSW,chicken,36
NSW,chinese,498
NSW,chocolate,1
NSW,colombian,1
NSW,contemporary,1
NSW,crepe,1
NSW,croatian,1
NSW,dessert,2
NSW,diner,1
NSW,dumplings,2
NSW,eastern_european,1
NSW,egyptian,1
NSW,ethiopian,2
NSW,european,1
NSW,european_bistro,1
NSW,fast_food,2
NSW,filipino,5
NSW,fine_dining,1
NSW,fish,9
NSW,fish_and_chips,13
NSW,french,25
NSW,fusion,1
NSW,german,9
NSW,greek,39
NSW,grill,2
NSW,hawaiian,2
NSW,healthy,1
NSW,hong_kong,1
NSW,hongkong,1
NSW,hotpot,1
NSW,hungarian,2
NSW,hyderabadi,1
NSW,ice_cream,2
NSW,indian,203
NSW,indonesian,10
NSW,international,14
NSW,iraqi,1
NSW,italian,453
NSW,italian_pizza,2
NSW,japanese,360
NSW,kebab,7
NSW,korean,63
NSW,korean_bbq,1
NSW,koreanbbq,1
NSW,latin_american,1
NSW,lebanese,34
NSW,local,1
NSW,malaysian,30
NSW,matcha,1
NSW,mediterranean,13
NSW,mexican,63
NSW,middle_eastern,10
NSW,mixed_(indian),1
NSW,modern australian,1
NSW,modern_greek,1
NSW,nepalese,7
NSW,nepali,1
NSW,noode,1
NSW,noodle,30
NSW,noodles,1
NSW,organic,1
NSW,oriental,1
NSW,pakistani,2
NSW,pancake,1
NSW,pasta,2
NSW,persian,5
NSW,peruvian,5
NSW,polish,1
NSW,portuguese,7
NSW,pub,9
NSW,ramen,16
NSW,regional,15
NSW,sandwich,2
NSW,seafood,49
NSW,sichuan,1
NSW,singaporean,1
NSW,spanish,14
NSW,srilnaknan,1
NSW,steak,31
NSW,steakhouse,1
NSW,swedish,1
NSW,taiwanese,10
NSW,thai,359
NSW,tibetan,1
NSW,turkish,15
NSW,unique_asian_fusion_cuisine,1
NSW,uyghur,1
NSW,vagan,1
NSW,vietnamese,129
NSW,viking,1
NSW,western,1
NSW,wings,1
NSW,yogurt,1
NT,american,1
NT,arab,1
NT,cafe,2
NT,chicken,1
NT,chinese,7
